Img_Link,Category,Sub Category,Offer,Key Features,Ingredients,Unit,Weight,Shelf Life,Manufacturer Details,Country of Origin,Expiry Date,Description,Disclaimer
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_490530.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490530a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490530b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490530c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490530d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490530e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490530f.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490530g.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490530h.jpg",Lay's Gourmet Potato Chips - Vintage Cheese & Paprika Flavour,Chips & Crisps,Pack of 4,"Slow-cooked, exquisitely crafted kettle chips.","Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",80 g,82 g,4 months,"Dr. Jackfruit India Pvt. Ltd., Chennithala South PO., Mavelikkara, Alappuzha District, Kerala-690105",India,########,"These chips comes with an attractive sour cream mix with onions and fine parsley. It has a smooth, creamy and pleasant aroma.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. The colour of the product displayed in the image may differ from that received in the order."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_36191.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/36191a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/36191b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/36191c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/36191d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/36191e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/36191f.jpg",Jacker Barbecue Potato Crisps,Chips & Crisps,Pack of 4,"Made from the finest, imported fresh potatoes.Sliced and gently browned to a crisp, golden perfection.Packed with irresistible flavour.An ideal savoury to satiate your snack cravings.","Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",160 g,82 g,18 months,"Oriental Food Industries Sdn. Bhd., No.65, Jalan Usaha 7, Ayer Keroch, Industrial Estate, 75450 Melaka, Malaysia",Malaysia,########,"These chips comes with an attractive sour cream mix with onions and fine parsley. It has a smooth, creamy and pleasant aroma.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more or different information. It is recommended not to solely rely on the information presented."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_268787.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/268787a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/268787b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/268787c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/268787d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/268787e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/268787f.jpg",Jacker Cheese Potato Crisps,Chips & Crisps,Pack of 4,"Made from the finest, imported fresh potatoesSliced and gently browned to a crisp, golden perfectionPacked with mouth-watering cheese flavour and crunch An ideal savoury to satiate your snack cravings","Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",160 g,82 g,18 months,"Oriental Food Industries Sdn. Bhd., No.65, Jalan Usaha 7, Ayer Keroch, Industrial Estate, 75450 Melaka, Malaysia",Malaysia,########,"These chips comes with an attractive sour cream mix with onions and fine parsley. It has a smooth, creamy and pleasant aroma.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more or different information. It is recommended not to solely rely on the information presented."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_71936.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/71936a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/71936b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/71936c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/71936d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/71936e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/71936f.jpg",Jacker Original Potato Crisps,Chips & Crisps,Pack of 4,Made from choicest potatoesThinly sliced and cooked to golden perfectionPacked with irresistible flavour and crunchAn ideal munch to satiate midnight hunger pangs,"Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",160 g,82 g,18 months,"Oriental Food Industries Sdn. Bhd., No.65, Jalan Usaha 7, Ayer Keroch, Industrial Estate, 75450 Melaka, Malaysia",Malaysia,########,"These chips comes with an attractive sour cream mix with onions and fine parsley. It has a smooth, creamy and pleasant aroma.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_373658.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658f.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658g.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658h.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658i.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/373658j.jpg",Pringles South African Peri Peri Chips,Chips & Crisps,Pack of 4,"Try Pringles South African Style Peri Peri Flavour! Unlike other Potato chips, Pringles crisps are made from a mix of Potato, Rice flour, Corn Flour and Wheat starch. It is light and crispy and a comes in a can! Experience the Pringles magic today!","Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",107 g,82 g,18 months,"Oriental Food Industries Sdn. Bhd., No.65, Jalan Usaha 7, Ayer Keroch, Industrial Estate, 75450 Melaka, Malaysia",Malaysia,########,"These chips comes with an attractive sour cream mix with onions and fine parsley. It has a smooth, creamy and pleasant aroma.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_487900.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/487900a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/487900b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/487900c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/487900d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/487900e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/487900f.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/487900g.jpg",Kurkure Chatpata Cheese Crisps,Chips & Crisps,Pack of 4,"Try Pringles South African Style Peri Peri Flavour! Unlike other Potato chips, Pringles crisps are made from a mix of Potato, Rice flour, Corn Flour and Wheat starch. It is light and crispy and a comes in a can! Experience the Pringles magic today!","Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",84 g,82 g,4 months,Pepsico Holdings India Pvt. Ltd.,India,########,"This is a fusion of international cheese flavour with the Indian Chatpata flavour. It's crunchy taste makes it all the more delightful and tasty. With the munchy texture and cheesy flavour, it is a perfect snack for any occasion.","Every effort is made to maintain the accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_490531.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490531a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490531b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490531c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490531d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490531e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490531f.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490531g.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/490531h.jpg",Lay's Gourmet Potato Chips - Lime & Cracked Pepper Flavour,Chips & Crisps,Pack of 4,"Slow-cooked, exquisitely crafted kettle chips.","Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",80 g,82 g,4 months,Pepsico Holdings India Pvt. Ltd.,India,########,"This is a fusion of international cheese flavour with the Indian Chatpata flavour. It's crunchy taste makes it all the more delightful and tasty. With the munchy texture and cheesy flavour, it is a perfect snack for any occasion.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. The colour of the product displayed in the image may differ from that received in the order."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_482009.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/482009a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/482009b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/482009c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/482009d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/482009e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/482009f.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/482009g.jpg",Piknik Classic Tomato Chilli Soya Sticks - Pack of 2,Chips & Crisps,Pack of 2,25% less oilNo added MSGNo added colours and preservative,"Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",2 x 60 g,82 g,4 months,Pepsico Holdings India Pvt. Ltd.,India,########,"Piknik Classic Tomato Chilli chips has got a peppery spicy taste with a mix of tangy tomato flavour. Made from wheat, soya flour, edible starches and fresh natural spices, this crispy snack is sure to tingle your taste buds. Irresistibly tasty, seasoned with sizzling chilli and juicy tomato flavour, these chips are a fantastic party-starter.","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more or different information. It is recommended not to solely rely on the information presented."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_448087.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448087a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448087b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448087c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448087d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448087e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448087f.jpg",To Be Honest Mixed Sweet Potato with Rock Salt & Pepper Chips,Chips & Crisps,Pack of 2,"Vegetable chips, seasoned with delicious seasonings.Made using vacuum cooking technology.They do not contain any artificial flavors or colors.These chips are gluten-free, MSG-free and are vegan-friendly.","Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",90 g,82 g,12 months,"To Be Healthy Foods Pvt. Ltd., A-47, 1st Floor, Sector 67, Noida- 201301",India,########,"Piknik Classic Tomato Chilli chips has got a peppery spicy taste with a mix of tangy tomato flavour. Made from wheat, soya flour, edible starches and fresh natural spices, this crispy snack is sure to tingle your taste buds. Irresistibly tasty, seasoned with sizzling chilli and juicy tomato flavour, these chips are a fantastic party-starter.","Every effort is made to maintain the accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/full_screen/pro_448090.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448090a.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448090b.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448090c.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448090d.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448090e.jpg https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/448090f.jpg",To Be Honest Golden Sweet Potato Chips with Peri Peri,Chips & Crisps,Pack of 2,Freshness and quality guaranteed. Flavoured with spices and condiments. Crispy and tasty.,"Kellogg's Toasted Rice Cereal (25%) (Rice, Sugar, Salt,a Barleya Malt Flavouring, Niacin, Iron, Vitamin B6, Vitamin B2 {Riboflavin}, Vitamin B1 {Thiamin}, Folic Acid, Vitamin D, Vitamin B12), Sweetened Condensed Skimmeda Milka (Skimmeda Milk, Sugar), Chocolate Flavour Coating (12%) (Sugar, Vegetable Oil {Palm Kernel, Rapeseed} in varying proportions,a Milka Whey Powder, Skimmeda Milka Powder, Fat Reduced Cocoa Powder, Emulsifier {Soya Lecithin}, Flavouring), Fructose, Glucose Syrup,a Milka Chocolate Chunks (10%) (Sugar, Wholea Milka Powder, Cocoa Butter, Cocoa Mass, Emulsifier {Soya Lecithin}, Natural Vanilla Flavouring), Palm Oil, Invert Sugar Syrup, Sugar, Humectant (Glycerol), Salt, Gelling Agent (Agar), Flavourings, Stabiliser (Disodium Phosphate), Emulsifier (Soya Lecithin), Antioxidant (E320)",90 g,82 g,12 months,"To Be Healthy Foods Pvt. Ltd., A-47, 1st Floor, Sector 67, Noida-201301",India,########,"Piknik Classic Tomato Chilli chips has got a peppery spicy taste with a mix of tangy tomato flavour. Made from wheat, soya flour, edible starches and fresh natural spices, this crispy snack is sure to tingle your taste buds. Irresistibly tasty, seasoned with sizzling chilli and juicy tomato flavour, these chips are a fantastic party-starter.","Every effort is made to maintain the accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented."
